match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,status,home_xg,away_xg,referee_id,player_of_the_match_id,home_team,home_ranking,home_elo,home_market_value,home_avg_player_value,home_avg_caps,home_total_caps,home_avg_height,home_total_goals,away_team,away_ranking,away_elo,away_market_value,away_avg_player_value,away_avg_caps,away_total_caps,away_avg_height,away_total_goals,stadium_name,city,country,capacity,latitude,longitude,elevation_meters,stage_name,is_knockout,result,ranking_diff,elo_diff,market_value_diff,avg_player_value_diff,avg_caps_diff,total_caps_diff,height_diff,player_goals_diff
32,2026-06-19,23:59,1,8,16,14,0.0,1.0,Completed,0.4,0.3,16,361.0,Türkiye,26,1780,473700000,18219230.769230768,38.03846153846154,989,183.76923076923077,97,Paraguay,54,1725,153150000,5890384.615384615,27.115384615384617,705,181.6153846153846,54,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,53500,25.669,-100.2444,538,Group Stage,False,2.0,-28,55,320550000,12328846.153846152,10.923076923076923,284,2.1538461538461604,43
33,2026-06-20,15:00,1,10,17,19,2.0,1.0,Completed,1.85,0.72,1,442.0,Germany,10,1970,947000000,36423076.92307692,33.07692307692308,860,186.19230769230768,112,Côte d'Ivoire,38,1750,523500000,20134615.384615384,27.76923076923077,722,182.92307692307693,83,Boston Stadium (Gillette Stadium),Foxborough,USA,65878,42.0909,-71.2643,87,Group Stage,False,0.0,-28,220,423500000,16288461.538461536,5.30769230769231,138,3.269230769230745,29
34,2026-06-20,18:00,1,12,20,18,0.0,0.0,Completed,1.92,0.08,2,443.0,Ecuador,23,1870,363750000,13990384.615384616,30.192307692307693,785,180.53846153846155,94,Curaçao,82,1520,31400000,1207692.3076923077,24.423076923076923,635,181.92307692307693,73,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,76416,39.0489,-94.4839,264,Group Stage,False,1.0,-59,350,332350000,12782692.307692308,5.76923076923077,150,-1.3846153846153868,21
35,2026-06-20,21:00,1,14,21,23,5.0,1.0,Completed,3.45,0.88,3,531.0,Netherlands,8,1980,754200000,29007692.307692308,33.73076923076923,877,185.15384615384616,155,Sweden,25,1815,406075000,15618269.23076923,20.423076923076923,531,186.19230769230768,70,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,69796,39.9008,-75.1675,3,Group Stage,False,0.0,-17,165,348125000,13389423.076923078,13.30769230769231,346,-1.0384615384615188,85
36,2026-06-20,23:59,1,16,24,22,0.0,4.0,Completed,0.35,3.12,4,564.0,Tunisia,45,1710,66000000,2538461.5384615385,22.923076923076923,596,184.57692307692307,44,Japan,18,1880,270850000,10417307.692307692,31.653846153846153,823,181.6153846153846,115,Seattle Stadium (Lumen Field),Seattle,USA,69000,47.5952,-122.3316,3,Group Stage,False,2.0,27,-170,-204850000,-7878846.153846154,-8.73076923076923,-227,2.961538461538453,-71
37,2026-06-21,15:00,1,11,25,27,0.0,0.0,Completed,1.45,0.62,5,677.0,Belgium,9,1950,547500000,21057692.307692308,42.34615384615385,1101,185.80769230769232,214,IR Iran,20,1820,30550000,1175000.0,45.80769230769231,1191,183.65384615384616,150,Houston Stadium (NRG Stadium),Houston,USA,72220,29.6847,-95.4082,14,Group Stage,False,1.0,-11,130,516950000,19882692.307692308,-3.46153846153846,-90,2.1538461538461604,64
38,2026-06-21,18:00,1,13,28,26,1.0,3.0,Completed,0.55,2.15,6,660.0,New Zealand,85,1510,32100000,1234615.3846153845,32.61538461538461,848,183.07692307692307,108,Egypt,36,1730,110100000,4234615.384615385,32.57692307692308,847,181.19230769230768,129,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,64767,25.9581,-80.2389,2,Group Stage,False,2.0,49,-220,-78000000,-3000000.0000000005,0.038461538461532996,1,1.8846153846153868,-21
39,2026-06-21,21:00,1,15,29,31,4.0,0.0,Completed,3.28,0.25,7,749.0,Spain,2,2120,1222800000,47030769.23076923,29.153846153846153,758,181.73076923076923,117,Saudi Arabia,58,1660,40900000,1573076.923076923,36.26923076923077,943,178.42307692307693,97,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,68500,37.4033,-121.9698,8,Group Stage,False,0.0,-56,460,1181900000,45457692.30769231,-7.115384615384613,-185,3.3076923076922924,20
40,2026-06-21,23:59,1,2,32,30,2.0,2.0,Completed,1.65,1.1,8,755.0,Uruguay,16,1960,359300000,13819230.76923077,36.26923076923077,943,180.46153846153845,75,Cabo Verde,67,1640,52225000,2008653.8461538462,32.34615384615385,841,181.34615384615384,75,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,82500,40.8136,-74.0744,7,Group Stage,False,1.0,-51,320,307075000,11810576.923076924,3.92307692307692,102,-0.8846153846153868,0
41,2026-06-22,15:00,1,4,33,35,3.0,0.0,Completed,2.21,0.45,9,842.0,France,3,2100,1523000000,58576923.07692308,31.384615384615383,816,184.92307692307693,103,Iraq,55,1630,21200000,815384.6153846154,32.5,845,183.03846153846155,89,Dallas Stadium (AT&T Stadium),Arlington,USA,80000,32.7473,-97.0928,184,Group Stage,False,0.0,-52,470,1501800000,57761538.461538464,-1.1153846153846168,-29,1.8846153846153868,14
